Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Food and drink,Online boarding,Inflight entertainment,On-board service,Leg room service,Inflight service,Departure Delay in Minutes,Arrival Delay in Minutes,Churn
5,4,3,3,4,5,5,5,5,50,44,Not churn
1,1,3,5,4,4,4,4,4,0,0,Not churn
2,0,2,2,2,2,4,1,2,0,0,Churn
0,0,0,3,4,1,1,1,1,0,6,Not churn
5,5,5,3,5,5,5,5,5,0,0,Not churn
2,2,2,4,4,4,4,4,4,77,65,Not churn
4,1,1,5,1,3,3,4,3,29,19,Not churn
2,5,5,1,3,2,2,2,2,18,7,Churn
5,5,5,4,5,5,5,5,5,0,0,Not churn
1,1,4,5,5,5,5,5,5,117,113,Not churn
2,2,2,5,5,4,4,4,4,10,0,Not churn
3,4,3,2,3,2,4,2,5,0,0,Churn
4,1,1,4,4,4,1,4,5,3,13,Not churn
1,5,1,1,1,3,3,1,3,0,0,Churn
5,2,2,3,4,5,5,5,5,0,1,Not churn
1,1,1,3,5,5,5,5,5,73,68,Not churn
4,4,4,2,4,2,4,2,5,0,4,Not churn
3,3,3,3,3,1,5,4,2,116,177,Churn
1,1,1,4,4,4,5,3,4,0,3,Not churn
2,3,3,2,2,2,1,1,4,59,55,Churn
5,1,1,4,2,5,5,5,5,92,90,Not churn
2,5,2,3,3,5,5,2,5,4,2,Churn
2,4,2,4,4,4,4,2,4,0,0,Churn
3,3,4,5,5,5,4,5,5,0,0,Not churn
2,0,2,1,2,1,4,3,3,0,0,Churn
3,3,3,5,4,4,4,5,4,66,57,Not churn
4,1,1,4,4,4,3,1,5,9,6,Not churn
1,5,1,4,4,4,4,1,4,6,0,Churn
2,2,2,2,2,2,4,3,4,0,0,Churn
5,5,5,5,4,5,5,5,5,49,47,Not churn
3,2,2,2,4,3,3,3,3,0,0,Churn
3,5,3,2,4,2,2,3,2,0,0,Churn
3,3,2,2,5,4,4,4,4,5,24,Not churn
2,3,3,5,3,5,4,5,5,28,27,Churn
2,2,3,1,1,3,3,4,3,24,20,Not churn
2,4,2,4,4,2,2,2,2,0,0,Churn
3,3,3,5,5,5,4,4,2,44,52,Not churn
3,5,5,4,3,3,3,3,3,1,0,Churn
2,2,1,1,1,1,4,4,3,7,0,Churn
2,1,2,5,2,5,2,4,4,5,0,Churn
1,4,1,3,1,3,5,4,5,9,17,Churn
1,0,0,1,3,4,4,1,4,0,0,Churn
2,1,4,5,3,2,2,2,2,83,95,Churn
1,1,1,2,4,4,4,4,4,5,0,Not churn
4,4,4,4,5,4,4,4,4,117,113,Not churn
3,5,3,2,3,2,4,4,5,16,13,Churn
